term,estimate,std.error,D,sim_scenaio
sigma0,0.885450332245273,0.258194592252998,10,JPLP_sim
beta,1.25901184616947,0.0907725074927359,10,JPLP_sim
kappa,0.745757932225773,0.0504029007191773,10,JPLP_sim
R1_K[1],0.972779319252865,0.0804214455414177,10,JPLP_sim
R1_K[2],0.325971053669586,0.0735256646158361,10,JPLP_sim
R1_K[3],0.188514049615851,0.0450868612562037,10,JPLP_sim
mu0_true,0.470233069371323,0.321667730900261,10,JPLP_sim
sigma0,0.606188822954856,0.221836437918639,10,JPLP_sim
beta,1.15778550741175,0.0879709684979594,10,JPLP_sim
kappa,0.798802486699198,0.0627373413330091,10,JPLP_sim
R1_K[1],1.00978510819663,0.0976189095105678,10,JPLP_sim
R1_K[2],0.511456771669284,0.10457673050987,10,JPLP_sim
R1_K[3],0.240837576680512,0.0546007806275759,10,JPLP_sim
mu0_true,-0.00779483567614456,0.26386194452749,10,JPLP_sim
sigma0,0.459232857242361,0.15552558244141,10,JPLP_sim
beta,1.22966816097512,0.108844952990747,10,JPLP_sim
kappa,0.741740302184952,0.0726096272234347,10,JPLP_sim
R1_K[1],0.975411459578326,0.121102954670077,10,JPLP_sim
R1_K[2],0.393644670014344,0.0965227609788704,10,JPLP_sim
R1_K[3],0.374592956622879,0.0777641267956645,10,JPLP_sim
mu0_true,-0.0697167983935468,0.281190252508442,10,JPLP_sim
sigma0,0.484181285811794,0.15774828639196,10,JPLP_sim
beta,1.11835857822263,0.0640145741892266,10,JPLP_sim
kappa,0.858251970570356,0.0551857589760725,10,JPLP_sim
R1_K[1],1.14790256612436,0.101192984244119,10,JPLP_sim
R1_K[2],0.387225186117531,0.0888344088305803,10,JPLP_sim
R1_K[3],0.24489417022618,0.0493143871555201,10,JPLP_sim
mu0_true,-0.0748379554312964,0.218609545151693,10,JPLP_sim
sigma0,0.521350019064737,0.171204670489585,10,JPLP_sim
beta,1.23277145910419,0.113455542766407,10,JPLP_sim
kappa,0.846176197063832,0.0706233179926231,10,JPLP_sim
R1_K[1],0.954109998136944,0.112525496832236,10,JPLP_sim
R1_K[2],0.267441845448753,0.080234828359279,10,JPLP_sim
R1_K[3],0.248252730011449,0.0572038103161041,10,JPLP_sim
mu0_true,0.398050793927366,0.254062394764521,10,JPLP_sim
sigma0,0.383078246483392,0.130817442108271,10,JPLP_sim
beta,1.28811300475304,0.101995054909422,10,JPLP_sim
kappa,0.716897661861553,0.0585754864968434,10,JPLP_sim
R1_K[1],1.03022342709138,0.0965105902937726,10,JPLP_sim
R1_K[2],0.276282366896955,0.0766488272989301,10,JPLP_sim
R1_K[3],0.138165683925034,0.0517193805461597,10,JPLP_sim
mu0_true,0.565755092927989,0.198621556632645,10,JPLP_sim
sigma0,0.765005089536946,0.250555866119599,10,JPLP_sim
beta,1.29379326468536,0.113172442021436,10,JPLP_sim
kappa,0.700186196911707,0.0669511217347554,10,JPLP_sim
