term,estimate,std.error,D,sim_scenaio
sigma0,0.631323678440351,0.179875665871812,10,PLP_sim_for_JPLP
beta,1.04418497303225,0.0441950113060514,10,PLP_sim_for_JPLP
R1_K[1],1.24661997255637,0.0841956886678861,10,PLP_sim_for_JPLP
R1_K[2],0.261212128131491,0.0839676965644039,10,PLP_sim_for_JPLP
R1_K[3],0.265757029103384,0.054516058202258,10,PLP_sim_for_JPLP
mu0_true,0.0104755960655963,0.263841341462724,10,PLP_sim_for_JPLP
sigma0,0.392226375110946,0.159825138061259,10,PLP_sim_for_JPLP
beta,0.977329771707949,0.0640446615832864,10,PLP_sim_for_JPLP
R1_K[1],1.08315370603038,0.119047028611171,10,PLP_sim_for_JPLP
R1_K[2],0.338447221006933,0.107476673307644,10,PLP_sim_for_JPLP
R1_K[3],0.202341030540187,0.057289062175182,10,PLP_sim_for_JPLP
mu0_true,0.195153922653727,0.234336348000657,10,PLP_sim_for_JPLP
sigma0,0.7978257110834,0.218112864223189,10,PLP_sim_for_JPLP
beta,1.00226117244626,0.0555105107208799,10,PLP_sim_for_JPLP
R1_K[1],1.20126129446142,0.101630622995709,10,PLP_sim_for_JPLP
R1_K[2],0.424373789469278,0.10846587837411,10,PLP_sim_for_JPLP
R1_K[3],0.263925045813572,0.0484758235443604,10,PLP_sim_for_JPLP
mu0_true,-0.0499444215811625,0.309034516661494,10,PLP_sim_for_JPLP
sigma0,0.495628355588701,0.140532056980044,10,PLP_sim_for_JPLP
beta,0.959456263921727,0.0496093039888416,10,PLP_sim_for_JPLP
R1_K[1],1.22073287698568,0.0950694935545322,10,PLP_sim_for_JPLP
R1_K[2],0.340033086614254,0.069659697070015,10,PLP_sim_for_JPLP
R1_K[3],0.242611365813588,0.0388326002053853,10,PLP_sim_for_JPLP
mu0_true,0.0206784052287591,0.216399913952487,10,PLP_sim_for_JPLP
sigma0,0.918640642835729,0.275276239562637,10,PLP_sim_for_JPLP
beta,0.973500561054041,0.0608820734887057,10,PLP_sim_for_JPLP
R1_K[1],1.06886382465219,0.10455740867683,10,PLP_sim_for_JPLP
R1_K[2],0.23100643681295,0.0839666731972391,10,PLP_sim_for_JPLP
R1_K[3],0.26020175151856,0.0573459410488346,10,PLP_sim_for_JPLP
mu0_true,0.644612025800165,0.350938925640811,10,PLP_sim_for_JPLP
sigma0,0.917511619476163,0.243010215658599,10,PLP_sim_for_JPLP
beta,0.956842451635071,0.039872082022773,10,PLP_sim_for_JPLP
R1_K[1],1.26033660702029,0.0693261272923998,10,PLP_sim_for_JPLP
