term,estimate,std.error,D,sim_scenaio
R1_K[3],0.145331260197757,0.0289873824864986,10,PLP_sim
mu0_true,-0.0257821376996557,0.18784277369437,10,PLP_sim
sigma0,0.404702998401638,0.110759031029232,10,PLP_sim
beta,1.23107536455918,0.0542264788937679,10,PLP_sim
R1_K[1],1.03709796811516,0.0607128099750785,10,PLP_sim
R1_K[2],0.304205879560675,0.0452949032968134,10,PLP_sim
R1_K[3],0.117782320344059,0.0392283823662559,10,PLP_sim
mu0_true,0.421101500861805,0.174652221692632,10,PLP_sim
sigma0,0.590977066100779,0.185439405967246,10,PLP_sim
beta,1.1237552072341,0.0553103647956243,10,PLP_sim
R1_K[1],1.08719505384902,0.0797980204171878,10,PLP_sim
R1_K[2],0.339590773223602,0.0775440173684016,10,PLP_sim
R1_K[3],0.221220120793495,0.0505318228491884,10,PLP_sim
mu0_true,-0.0553061954397329,0.245211204328439,10,PLP_sim
sigma0,0.307161952242184,0.0992965698007473,10,PLP_sim
beta,1.18375167356069,0.0472908976035893,10,PLP_sim
R1_K[1],1.0123281973113,0.0595369811227271,10,PLP_sim
R1_K[2],0.251860082426933,0.0537151661779908,10,PLP_sim
R1_K[3],0.229602138022885,0.0311770839776147,10,PLP_sim
mu0_true,-0.0790639011478884,0.158363585550954,10,PLP_sim
sigma0,0.400693568547524,0.1244780857783,10,PLP_sim
beta,1.14872931335651,0.0533454633211224,10,PLP_sim
R1_K[1],1.03863977300101,0.0737329483717511,10,PLP_sim
R1_K[2],0.327193172671183,0.0675226361272871,10,PLP_sim
R1_K[3],0.206799550123359,0.0399935593683171,10,PLP_sim
mu0_true,0.240101154249851,0.193366201021272,10,PLP_sim
sigma0,0.378467342768149,0.118874368691018,10,PLP_sim
beta,1.15146182360703,0.0510040305973414,10,PLP_sim
R1_K[1],1.11285606226052,0.0695908966942083,10,PLP_sim
R1_K[2],0.423560865350148,0.0568017205087641,10,PLP_sim
R1_K[3],0.189628869217313,0.0302882385464754,10,PLP_sim
mu0_true,-0.0852093048241703,0.187167635310575,10,PLP_sim
sigma0,0.328230277400326,0.119175977448981,10,PLP_sim
beta,1.18410127904346,0.0557482123284879,10,PLP_sim
R1_K[1],0.964452184210388,0.071396096980641,10,PLP_sim
R1_K[2],0.438783142966168,0.0753315096044755,10,PLP_sim
R1_K[3],0.202172071895105,0.0464667766289639,10,PLP_sim
mu0_true,-0.0853351114003995,0.200507786095452,10,PLP_sim
sigma0,0.518362837567783,0.167388188994955,10,PLP_sim
beta,1.12807953028243,0.0696884701909239,10,PLP_sim
R1_K[1],1.05819807378722,0.0897663976703118,10,PLP_sim
R1_K[2],0.392168275315835,0.107175361985409,10,PLP_sim
R1_K[3],0.287255991571185,0.0517678125611138,10,PLP_sim
mu0_true,0.0561838877357826,0.252455562977594,10,PLP_sim
sigma0,0.530094985868197,0.199704950657295,10,PLP_sim
beta,1.1759003758454,0.0736937999333759,10,PLP_sim
R1_K[1],0.928562132007339,0.0965167445773284,10,PLP_sim
R1_K[2],0.253791081349192,0.0817699369909447,10,PLP_sim
R1_K[3],0.120842850627345,0.041920676860812,10,PLP_sim
