sample_size,parameter,mean,sd,2.5%,50%,97.5%
50,theta,5.22962603847621,0.2669240649962455,4.723263609283178,5.225825211897797,5.748921842499168
50,beta,2.1360874195517896,0.11602882546091244,1.8966087497158952,2.135602508283953,2.3520850502829127
50,theta,5.103567139482711,0.2844927050055693,4.524679684119709,5.133619645090224,5.636168668925974
50,beta,1.9048167874978634,0.11048543798339905,1.6754319393645014,1.9125013200160574,2.1067335249368946
50,theta,5.044166457777299,0.31890772909131193,4.38273576659291,5.06837817204131,5.636086951908372
50,beta,1.9299816893192336,0.11315477574316804,1.7332203546777063,1.9256311571106952,2.1467888377310587
50,theta,5.098829293215132,0.34029036558370557,4.494596576935934,5.090510420614423,5.752783134083632
50,beta,2.0908082959529413,0.11289894276782049,1.880189633348348,2.0910541563969565,2.3035027162744934
50,theta,5.048030467504987,0.26646008207930366,4.539656426045604,5.043097006851909,5.560297600471857
50,beta,2.0377037542038856,0.11367234337468277,1.8198868438025344,2.039774760524714,2.247114627344101
50,theta,4.922267509639046,0.29719916068326874,4.305723625815183,4.917970790471634,5.494766138832723
50,beta,2.091800365005275,0.12688198535178175,1.8694860117547494,2.09291583659833,2.35126906905038
50,theta,5.1082805880346855,0.30464645958948244,4.536476542958839,5.127415408978232,5.694201568145754
50,beta,2.002751030354188,0.10508757435338284,1.7702316340739466,2.003501761990373,2.1974994782246147
50,theta,5.020645719259209,0.3067046269426851,4.337529191484081,5.023598978876552,5.58062641936071
50,beta,1.8919543025852212,0.1303676090719057,1.6516616994033675,1.8910704413535024,2.154274473599741
50,theta,4.53067612462673,0.31250081942605207,3.898423069764469,4.528686491460537,5.112193828919079
50,beta,2.115383500399577,0.11795611627926497,1.8818293216870217,2.1120923338511037,2.337965817801291
50,theta,5.293940432741036,0.29967269782303874,4.705393574136298,5.2829160519848966,5.843048269051775
50,beta,2.324879149461953,0.11901612947447095,2.0737138535376487,2.3154965159692478,2.5747435779540195
50,theta,5.396170997568112,0.2656841569139444,4.843501271835749,5.382275798733081,5.902444117536117
50,beta,2.1397178768528153,0.12679267846327288,1.9052504921600009,2.1361371027823237,2.4033534567389445
50,theta,5.41926953703727,0.3205816566091042,4.82868318757656,5.42477698589147,6.0413262377587955
50,beta,2.0532511236424438,0.11975842217011175,1.8351828564139798,2.053803351895324,2.2809660724928094
50,theta,5.096938052309941,0.29988204083525977,4.533637413256445,5.107784296084862,5.618761199359368
50,beta,1.9399938094813876,0.11768594397413419,1.7213322134457296,1.9340374144438726,2.1675394567055166
50,theta,4.864690832847555,0.3295952976912408,4.249066144404299,4.851779911424148,5.422388528458315
50,beta,1.995533498772148,0.11823557407309249,1.7786599744589475,1.9924044392378897,2.2448608222797697
50,theta,5.089991813553296,0.3251253301653047,4.4602288755817785,5.073336204492334,5.6972659342250855
50,beta,2.3052422352016153,0.14017301669983712,2.0470119554353494,2.300916313741012,2.5855472999901643
50,theta,5.389264544018145,0.2938818463945367,4.817314819596197,5.373724824658471,5.931072417449361
50,beta,2.06942947870344,0.12734109282814413,1.8302009787988758,2.0679623440799393,2.297984459141423
50,theta,5.065892110655967,0.3124198910421808,4.441160906290969,5.083717767638001,5.69754821157068
50,beta,2.242655163831594,0.1242263307732844,2.008308505557453,2.2390133332571707,2.500061713193628
50,theta,5.719333099798128,0.31646651961527456,5.099326820150947,5.7148255216048796,6.383292447364633
50,beta,1.9194714277886826,0.1184203069914426,1.7176984336056331,1.9171304660757844,2.167606223915379
50,theta,5.023796010569747,0.3313843335114913,4.410407979667766,5.035599328633182,5.647540422041004
50,beta,1.9085327659739177,0.11083631653882647,1.6947302050023065,1.907376478830642,2.1229730157802003
50,theta,5.050742145514063,0.33455347094294596,4.361597796280657,5.063749602294665,5.680287370219062
50,beta,1.9061557997186014,0.10733743504056853,1.700723237089126,1.905050966160994,2.1077629551632833
50,theta,4.631996884036331,0.2903523382790027,4.033204572405589,4.652316850988974,5.1459591026099485
50,beta,2.092606592136467,0.11796431827870471,1.8499231107953893,2.0923433782243492,2.312164542281677
50,theta,5.396196484515898,0.30999383208727677,4.815493265607202,5.410293325874098,5.923048994023185
50,beta,1.9524176506117665,0.10796870903953047,1.7448434638046515,1.955288665321595,2.1709645167326883
50,theta,5.080264342759693,0.32365682678861946,4.471605357871875,5.0808011674582545,5.757100725270597
50,beta,2.0713090301741337,0.11453443448568722,1.8665883964658154,2.0702186855683147,2.281704444519523
50,theta,5.4204252487001785,0.30800562703302947,4.785661043048095,5.419629160270388,5.994744937022112
50,beta,1.9011904904377583,0.10397595562348642,1.6877911594808315,1.9117339874640504,2.10418602229882
50,theta,5.172687573162832,0.32263938366600187,4.4768878127464315,5.172586140503398,5.752750471921682
100,beta,1.9983871093542849,0.07750883481004364,1.8543893459971303,1.998885203532917,2.147830584423597
100,theta,4.9770490471033035,0.21955640211899513,4.527412800701151,4.981589955360432,5.422050314941975
100,beta,1.960350286075829,0.08857835994579327,1.817936806172026,1.9500976187844954,2.1626203468874428
100,theta,4.897204008461533,0.24055337151386422,4.486937276182478,4.890041454615979,5.398793896490721
100,beta,1.9049854481228385,0.07787253050052666,1.7687814348267712,1.9039926370998224,2.0585973922025484
100,theta,4.736980301624386,0.2126752103972722,4.326987007489955,4.727193722694646,5.14663854811919
100,beta,1.9982563365256933,0.06891317375896892,1.8666455024294284,1.997368447353142,2.136134720698374
100,theta,4.862901629161362,0.1849118866069923,4.520015651529147,4.860222198745949,5.210056755818103
100,beta,1.9515291100047572,0.07779264810882407,1.777747816058116,1.9539517842441505,2.0920818053709307
100,theta,4.9211527129638855,0.22606641560227533,4.402386863552017,4.925822592167007,5.314741817016823
100,beta,1.941127098482466,0.07379135453728393,1.8029387123391405,1.9444649798745375,2.084391195080922
100,theta,4.924362447902161,0.20232432292919839,4.500449208317883,4.925756848354542,5.327885010737033
100,beta,1.9590139980141996,0.08458003700666686,1.8053503312253267,1.9529239039806585,2.1301982806924835
100,theta,5.031305305084493,0.2359093519503065,4.577019717027806,5.023834785750848,5.494754991885888
100,beta,2.1112138986799156,0.08450418911585801,1.9585002977379908,2.1075588842609028,2.275983494159032
100,theta,5.144745044726365,0.21203581668265653,4.751322387282341,5.140567622445136,5.5578164469377995
100,beta,2.0642613363221223,0.07473480807856817,1.9135656620265566,2.064999699253387,2.2004213351515727
100,theta,5.1492493056909305,0.19665711789123894,4.745682585423611,5.154750120609965,5.5106867789184015
100,beta,2.004788499993293,0.08519512333231936,1.8426009735672144,2.005404912443608,2.179598799720429
100,theta,4.867324512445843,0.2067977366211792,4.42136063518787,4.881375825331871,5.278063233344366
100,beta,2.1043540283894946,0.08515443561056933,1.9294209296971978,2.10823650427272,2.260846265172951
100,theta,5.1703976963948035,0.208519601672707,4.718389526382716,5.180941403213325,5.546590348539217
100,beta,2.1997680573511014,0.08946605184288989,2.040554510069276,2.200644709469386,2.379624131867743
100,theta,5.42241107312666,0.21855134235268472,5.013150437749985,5.434315882081391,5.867207346530624
100,beta,1.9606320118601965,0.08563260865931582,1.8080696257693398,1.956108929666297,2.148439136883591
100,theta,4.8715232572172695,0.23631924405848878,4.433566226489814,4.874182120214904,5.332515810679172
100,beta,1.9722127318213207,0.0729578379731066,1.8306844983079331,1.9748861801464521,2.1063738324588117
100,theta,4.957123978375005,0.199771130037328,4.584082640610977,4.9696850511137995,5.3125972388948055
100,beta,2.0620787282515085,0.08281327269111428,1.8986832946050995,2.0704647555443105,2.2185558890353514
100,theta,5.206863338322804,0.2160087000500577,4.755285811712657,5.210775681994223,5.60558134995965
100,beta,2.0435030537944487,0.07468192056597547,1.886484559657657,2.0442383150408494,2.192592963187704
100,theta,4.7462035016474315,0.19123044787354193,4.3270564120595125,4.757717138143644,5.11223427508277
100,beta,2.0604554648108833,0.08425024884039083,1.8918719021831294,2.056196569321746,2.2204288198657274
100,theta,5.00983171370101,0.20889312541863136,4.592503393515651,5.010420031213639,5.399038806834257
100,beta,1.9869582043394447,0.07991115255107561,1.8330770927665032,1.9909056910776206,2.1426966325262615
100,theta,4.807338528475169,0.21165030100364532,4.420333274773005,4.817598591302321,5.2148713353812575
100,beta,1.9928912723901533,0.09009309496797141,1.8205492435841597,1.992616603536606,2.158859740161456
100,theta,5.0367224113588724,0.24056856508369162,4.562501326004603,5.0502841930539155,5.466600739020377
100,beta,2.0020320880746043,0.07179161992282511,1.880694168131601,1.9952528806336627,2.151574297714842
100,theta,4.930564929151475,0.18754630448351337,4.606599695225959,4.913194868121302,5.3327612200424905
100,beta,2.0584937637279332,0.08523169337958349,1.8949809084667595,2.0620181369706696,2.228279801547613
100,theta,5.089821439699768,0.2163102310039996,4.664960782024936,5.094460711768664,5.489815101334074
100,beta,2.0528963285971225,0.08551360061480451,1.8878128189590297,2.052581294958864,2.219137289527731
100,theta,4.908709294909461,0.20801929006066674,4.516885121000522,4.9046330285667405,5.349349998233416
100,beta,2.097633539348276,0.08825416079813299,1.9149344246078988,2.1008806556405015,2.267484521873725
100,theta,5.030484295440186,0.22275747935559137,4.567078913214822,5.0376093329332114,5.459788886873551
100,beta,2.1233730513964564,0.09350006294640106,1.9451928951033235,2.126324836466618,2.3051883223402427
100,theta,5.250337636655361,0.23849133175907367,4.775331732347544,5.251372657009343,5.711476402558752
100,beta,2.0539393297374797,0.08299585131397803,1.902924070270843,2.0524662853211746,2.225701802418406
100,theta,5.180878709074811,0.22476889340360148,4.719888573572138,5.1844441926957305,5.610670266146176
100,beta,1.9435168088631267,0.074535639591702,1.7947362934948545,1.9435220335153245,2.0844099251144828
100,theta,5.078343025255626,0.22627693232839521,4.613902039884316,5.07012762668773,5.501852949858296
100,beta,2.017833324428656,0.08675351732028821,1.854732556555457,2.0213116000425764,2.1880800900962276
100,theta,4.960313343703197,0.22269095639007302,4.512355418746745,4.987449516609308,5.3806348320409345
100,beta,1.9687715605205292,0.07765912136276276,1.82082178358755,1.9679654929987853,2.1265220483912426
100,theta,5.0245258117650815,0.22936409251773246,4.586652076765761,5.020588221668708,5.497920839884644
100,beta,2.0123514712116757,0.0776102871404822,1.8748940934832647,2.01111355673682,2.158923105396263
100,theta,5.111944606136989,0.21560852419629628,4.665209170726822,5.111708932278711,5.503697208166557
